Sample_ID,Group,Phe,Sex,Pro,W0,W14,Ave_Grey,Min_Grey,Max_Grey,Pixel_Number,Ave_Grey_Ref,Note,,
B2_Lw_F1,Lw_F,Lw,F,3.40,0.388,0.468,161.7,1,254,668394,6.65,,,W0: Body mass at the day of adult eclosion (g)
B2_Lw_F3,Lw_F,Lw,F,3.56,0.450,0.492,82.61,0,254,716518,5.86,,,W14: Body mass at the 14 days post adult eclosion; the day of implantation (g)
B2_Sw_M3,Sw_M,Sw,M,3.47,0.393,0.391,33.33,0,254,869111,6.35,,,Pro: Pronotum length (mm)
B2_Sw_M5,Sw_M,Sw,M,3.54,0.370,0.471,76.98,0,254,655512,6.53,,,Ave_Grey: Average darkness of the implant dissected from this individual (8bit grey scale)
B2_Lw_M3,Lw_M,Lw,M,3.40,0.435,0.418,104.93,0,254,551558,6.48,,,Ave_Grey_Ref: Average darkness of the reference implant  (8bit grey scale); for controlling consistent light exposure 
B3A_Lw_FX2,Lw_F,Lw,F,2.93,0.233,0.352,50.37,0,254,540800,6.58,,,
B3A_Sw_F2,Sw_F,Sw,F,3.41,0.393,0.567,133.2,1,254,603327,6.43,,,
B3A_Lw_FX1,Lw_F,Lw,F,3.38,0.343,0.390,26.74,0,251,620576,6.44,,,
B3A_Lw_F1,Lw_F,Lw,F,3.13,0.327,0.383,31.83,0,254,500585,6.47,,,
B3A_Lw_F2,Lw_F,Lw,F,3.57,0.390,0.572,25.4,0,254,699681,6.23,,,
B3A_Lw_M_X1,Lw_M,Lw,M,3.60,0.430,0.441,77.15,0,254,728799,6.39,,,
B3A_Lw_F4,Lw_F,Lw,F,3.45,0.366,0.449,60.28,0,254,611946,5.94,,,
B3A_Lw_MX2,Lw_M,Lw,M,3.23,0.338,0.368,54.56,0,254,608588,5.90,,,
B3A_Sw_M2,Sw_M,Sw,M,3.51,0.380,0.412,92.67,1,254,758204,6.91,,,
B3A_Lw_M1,Lw_M,Lw,M,3.29,0.350,0.371,51.02,0,240,657537,6.83,,,
B3A_Lw_M3,Lw_M,Lw,M,3.57,0.436,0.471,33.37,0,254,901729,5.32,,,
B3A_Lw_M4,Lw_M,Lw,M,3.41,0.349,0.410,19.41,0,238,759756,7.68,,,
B3B_Sw_F1,Sw_F,Sw,F,3.39,0.346,0.502,76.09,0,252,698626,6.26,,,
B3B_Sw_F2,Sw_F,Sw,F,3.45,0.361,0.521,117.59,0,254,724514,5.75,,,
B3B_Sw_M_X1,Sw_M,Sw,M,3.61,0.427,0.446,89.09,0,254,509368,5.86,,,
B3B_Lw_F1,Lw_F,Lw,F,3.37,0.378,0.535,124.2,5,254,720434,7.47,,,
B3B_Lw_F2,Lw_F,Lw,F,3.22,0.321,0.405,62.59,0,254,838785,7.62,,,
B3B_Lw_F9,Lw_F,Lw,F,3.45,0.394,0.442,81.73,0,254,691866,7.16,,,
B3B_Sw_M1,Sw_M,Sw,M,3.47,0.411,0.421,55.58,0,254,503249,7.09,,,
B3B_Sw_M2,Sw_M,Sw,M,3.16,0.367,0.361,20.71,0,254,556980,7.54,,,
B3B_Lw_M1,Lw_M,Lw,M,3.35,0.373,0.416,43.32,0,254,697039,7.49,,,
B3B_Lw_M2,Lw_M,Lw,M,3.30,0.326,0.355,37.55,0,254,845760,7.46,,,
B3B_Lw_M3,Lw_M,Lw,M,3.24,0.305,0.334,41.63,0,254,634430,7.49,,,
B3B_Lw_M4,Lw_M,Lw,M,3.24,0.327,0.353,55.98,0,254,684250,5.68,,,
B4A_Lw_M1,Lw_M,Lw,M,3.69,0.445,0.440,80.49,0,254,649852,5.08,,,
B4A_Lw_M2,Lw_M,Lw,M,3.44,0.396,0.431,59.81,0,254,679799,4.81,,,
B4A_Lw_M3,Lw_M,Lw,M,3.45,0.403,0.431,42.74,0,254,838282,6.20,,,
B4A_Lw_M4,Lw_M,Lw,M,3.56,0.441,0.454,37.75,0,254,755594,6.13,,,
B4B_Sw_M1,Sw_M,Sw,M,3.61,0.418,0.452,35.92,0,254,864459,6.01,,,
B4B_Sw_M2,Sw_M,Sw,M,3.85,0.511,0.546,47.33,0,254,929998,5.23,,,
B4B_Lw_M1,Lw_M,Lw,M,3.41,0.402,0.423,39.17,0,254,636235,7.17,,,
B4B_Lw_M2,Lw_M,Lw,M,3.54,0.434,0.471,38.06,0,254,681934,6.95,,,
B4B_Lw_M3,Lw_M,Lw,M,3.81,0.497,0.501,19.33,0,254,489451,6.63,,,
B4B_Lw_M4,Lw_M,Lw,M,3.83,0.521,0.548,55.73,0,254,714184,7.03,,,
B5A_Sw_F1,Sw_F,Sw,F,3.45,0.354,0.460,53.38,0,254,818640,6.77,,,
B5A_Sw_F2,Sw_F,Sw,F,3.42,0.370,0.526,126.02,0,254,539248,6.48,,,
B5A_Sw_F3,Sw_F,Sw,F,3.43,0.346,0.473,63.15,0,254,596242,6.45,,,
B5A_Sw_F4,Sw_F,Sw,F,3.55,0.422,0.627,111.25,0,254,577708,6.35,,,
B5A_Lw_FX1,Lw_F,Lw,F,3.46,0.361,0.415,70.23,0,254,667456,6.49,,,
B5A_Lw_F1,Lw_F,Lw,F,3.66,0.428,0.518,109.05,1,254,619373,6.48,,,
B5A_Sw_M1,Sw_M,Sw,M,3.40,0.408,0.424,26.28,0,254,767831,6.65,,,
B5B_Sw_F1,Sw_F,Sw,F,3.28,0.350,0.466,36.52,0,254,728318,5.53,,,
B5B_Sw_F2,Sw_F,Sw,F,3.35,0.437,0.487,61.76,0,254,878859,5.40,,,
B5B_Lw_F1,Lw_F,Lw,F,3.71,0.433,0.533,121.59,0,254,713732,5.17,,,
B5B_Lw_F2,Lw_F,Lw,F,3.77,0.440,0.538,50.79,0,254,678036,5.48,,,
B5B_Lw_F3,Lw_F,Lw,F,3.49,0.383,0.420,108.97,1,254,577758,5.50,,,
B5B_Lw_F4,Lw_F,Lw,F,3.52,0.381,0.515,58.23,0,254,797994,5.51,,,
B2_Lw_F4,Lw_F,Lw,F,3.56,0.405,0.532,51.77,0,254,772692,5.22,,,
B2_Lw_F5,Lw_F,Lw,F,3.52,0.430,0.589,69.76,0,254,487572,6.97,,,
B3B_Lw_M7,Lw_M,Lw,M,3.14,0.304,0.293,89.88,0,254,501287,4.96,,,
B3B_Sw_M3,Sw_M,Sw,M,3.16,0.318,0.318,119.53,3,254,605917,4.91,,,
B4A_Sw_M1,Sw_M,Sw,M,3.60,0.423,0.427,82.58,0,254,631597,4.83,,,
B4A_Lw_M6,Lw_M,Lw,M,3.69,0.435,0.480,17.71,0,251,470502,4.63,,,
B4A_Lw_M7,Lw_M,Lw,M,3.54,0.467,0.463,38.09,0,254,552406,4.21,,,
B5A_Sw_M2,Sw_M,Sw,M,3.78,0.499,0.555,71.32,0,254,552360,5.09,,,
B5B_Sw_M1,Sw_M,Sw,M,3.68,0.446,0.515,71.52,0,252,552501,5.59,,,
B5B_Lw_M1,Lw_M,Lw,M,3.77,0.479,0.518,77.09,0,254,569960,5.59,,,
B5B_Lw_M2,Lw_M,Lw,M,3.97,0.496,0.514,51.69,0,254,709315,5.18,,,
B3A_Lw_FX3,Lw_F,Lw,F,3.67,0.431,0.478,44.14,0,254,547066,5.63,,,
B3A_Lw_F6,Lw_F,Lw,F,3.50,0.367,0.396,59.84,0,254,508387,5.59,,,
B3A_Lw_F7,Lw_F,Lw,F,3.63,0.446,0.477,82.37,0,254,608825,5.49,,,
B3A_Lw_F8,Lw_F,Lw,F,3.49,0.410,0.565,81.14,0,254,560048,5.65,,,
B3A_Lw_F9,Lw_F,Lw,F,3.81,0.514,0.652,56.7,0,254,551255,5.98,,,
B3A_Lw_M11,Lw_M,Lw,M,3.43,0.375,0.397,20.94,0,254,590553,5.78,,,
B3A_Lw_M12,Lw_M,Lw,M,3.54,0.460,0.450,37.78,0,254,599159,5.86,,,
B3B_Sw_F4,Sw_F,Sw,F,3.67,0.477,0.623,25.92,0,254,697232,5.56,,,
B3B_Sw_F5,Sw_F,Sw,F,3.71,0.445,0.593,129.68,6,254,601505,5.57,,,
B3B_Lw_F12,Lw_F,Lw,F,3.67,0.471,0.535,100.07,1,254,511608,5.63,,,
